graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
fl2010.mtx;74;S;2.704729;3;4;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;75;F;0.043456;-1;-1;-1;84792.000000;72862.000000;11930.000000;11394185224.000000;11394197154.000000
fl2010.mtx;76;S;0.160571;1;25;12;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;77;F;0.043180;-1;-1;-1;205446.000000;157972.000000;47474.000000;11394197154.000000;11394244628.000000
fl2010.mtx;78;S;1.742698;2;12;5;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;79;F;0.045723;-1;-1;-1;230858.000000;223043.000000;7815.000000;11394244628.000000;11394252443.000000
fl2010.mtx;80;S;1.770336;2;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;81;F;0.043434;-1;-1;-1;19559.000000;14810.000000;4749.000000;11394252443.000000;11394257192.000000
fl2010.mtx;82;S;2.674450;3;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;83;F;0.042203;-1;-1;-1;54494.000000;41639.000000;12855.000000;11394257192.000000;11394270047.000000
hi2010.mtx;0;S;0.021183;1;25016;3258;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
hi2010.mtx;1;F;0.001996;-1;-1;-1;450385839.000000;0.000000;450385839.000000;0.000000;450385839.000000
hi2010.mtx;2;S;0.016921;1;17729;2982;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;3;F;0.003089;-1;-1;-1;225510391.000000;0.000000;225510391.000000;450385839.000000;675896230.000000
hi2010.mtx;4;S;0.014717;1;10070;2122;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;5;F;0.003195;-1;-1;-1;94654338.000000;0.000000;94654338.000000;675896230.000000;770550568.000000
hi2010.mtx;6;S;0.011135;1;4460;1132;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;7;F;0.002809;-1;-1;-1;32481522.000000;0.000000;32481522.000000;770550568.000000;803032090.000000
hi2010.mtx;8;S;0.007739;1;1542;430;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;9;F;0.002366;-1;-1;-1;8408559.000000;0.000000;8408559.000000;803032090.000000;811440649.000000
hi2010.mtx;10;S;0.005975;1;467;147;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;11;F;0.002054;-1;-1;-1;2185691.000000;0.000000;2185691.000000;811440649.000000;813626340.000000
hi2010.mtx;12;S;0.005626;1;98;35;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
